,URA
symbol,URA
price,23.03
beta,0
volAvg,1701539
mktCap,0
lastDiv,0.103
range,17.65-28.49
changes,-0.18
companyName,Global X Uranium ETF
currency,USD
cik,
isin,US37954Y8710
cusip,37954Y871
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index and in American Depositary Receipts (""ADRs"") and Global Depositary Receipts (""GDRs"") based on the securities in the underlying index. The underlying index is designed to measure broad based equity market performance of global companies involved in the uranium industry. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/URA.png
ipoDate,2010-11-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
