,QTEC
symbol,QTEC
price,118.79
beta,0
volAvg,86809
mktCap,0
lastDiv,0.163
range,95.23-162.23
changes,2.26
companyName,First Trust NASDAQ-100-Technology Sector Index Fund
currency,USD
cik,
isin,US3373451026
cusip,337345102
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is an equal-weighted index composed of the securities comprising the NASDAQ-100 Index® that are classified as ""technology"" according to the Industry Classification Benchmark classification system."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/QTEC.png
ipoDate,2006-04-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
