,SNPE
symbol,SNPE
price,36.8
beta,0
volAvg,369675
mktCap,0
lastDiv,0.569
range,31.47-41.88
changes,0.54
companyName,Xtrackers S&P 500 ESG ETF
currency,USD
cik,0001503123
isin,US2330511435
cusip,233051143
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index is a broad-based, market capitalization weighted index that provides exposure to companies with high environmental, social and governance (""ESG"") performance relative to their sector peers, while maintaining similar overall industry group weights as the S&P 500 Index. The fund uses a full replication indexing strategy to seek to track the underlying index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SNPE.png
ipoDate,2019-06-26
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
