,HYZD
symbol,HYZD
price,21.04
beta,0
volAvg,92837
mktCap,0
lastDiv,1.0869999999999997
range,19.57-22.16
changes,0.13
companyName,WisdomTree Interest Rate Hedged High Yield Bond Fund
currency,USD
cik,
isin,US97717W4309
cusip,97717W430
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index is designed to provide long exposure to the performance of selected issuers in the U.S. non-investment-grade corporate bond (""junk bonds"") market that are deemed to have favorable fundamental and income characteristics while seeking to manage interest rate risk through the use of short positions in U.S. treasury securities. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYZD.png
ipoDate,2013-12-18
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
