,EWP
symbol,EWP
price,27.355
beta,0
volAvg,396223
mktCap,1021709223
lastDiv,0.743
range,19.27-27.68
changes,0.445
companyName,iShares MSCI Spain ETF
currency,USD
cik,
isin,US4642867646
cusip,464286764
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The index is a free float-adjusted market capitalization-weighted index that is designed to measure the performance of the large- and mid-capitalization segments of the Spanish equity market. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWP.png
ipoDate,1996-03-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
