,ENFR
symbol,ENFR
price,22.31
beta,0
volAvg,46218
mktCap,66689632
lastDiv,1.1050000000000002
range,18.96-24.52
changes,0.28
companyName,Alerian Energy Infrastructure ETF
currency,USD
cik,0001414040
isin,US00162Q6769
cusip,00162Q676
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The underlying index is a composite of North American energy infrastructure companies engaged in midstream activities involving energy commodities including gathering and processing, liquefaction, pipeline transportation, rail terminaling, and storage (also known as ""midstream energy businesses""). The fund will normally invest at least 90% of its total assets in securities that comprise the underlying index. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ENFR.png
ipoDate,2013-11-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
