,GDX
symbol,GDX
price,32.02
beta,0
volAvg,26721909
mktCap,9677797485
lastDiv,0.476
range,21.52-41.61
changes,0.19
companyName,VanEck Gold Miners ETF
currency,USD
cik,
isin,US92189F1066
cusip,92189F106
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in common stocks and depositary receipts of companies involved in the gold mining industry. The index is a modified market-capitalization weighted index primarily comprised of publicly traded companies involved in the mining for gold and silver. The fund is non-diversified.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GDX.png
ipoDate,2006-05-16
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
