,BSJN
symbol,BSJN
price,23.5
beta,0
volAvg,285390
mktCap,4151781120
lastDiv,1.0029999999999997
range,22.73-24.96
changes,0.05
companyName,Invesco BulletShares 2023 High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46138J8586
cusip,46138J858
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated high yield corporate bonds (commonly known as ""junk bonds"") with maturities or, in some cases, ""effective maturities"" in the year 2023 (collectively, ""2023 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSJN.png
ipoDate,2015-10-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
