,RCD
symbol,RCD
price,133.36
beta,0
volAvg,61421
mktCap,0
lastDiv,1.172
range,103.95-149.03
changes,2.96
companyName,Invesco S&P 500 Equal Weight Consumer Discretionary ETF
currency,USD
cik,
isin,US46137V3814
cusip,46137V381
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of all of the components of the S&P 500® Consumer Discretionary Index, an index that contains the common stocks of all companies included in the S&P 500® Index that are classified as members of the consumer discretionary sector, as defined according to the Global Industry Classification Standard (""GICS"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/RCD.png
ipoDate,2006-11-01
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
