,TEC.TO
symbol,TEC.TO
price,22.8
beta,0
volAvg,26687
mktCap,0
lastDiv,0.064
range,19.99-28.5
changes,0.15
companyName,TD Global Technology Leaders Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TEC.TO.png
ipoDate,2019-05-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
