,VUSB
symbol,VUSB
price,49.24
beta,0
volAvg,761898
mktCap,0
lastDiv,0
range,48.68-51.15
changes,0.01
companyName,Vanguard Ultra-Short Bond ETF
currency,USD
cik,
isin,
cusip,
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests in a diversified portfolio of high-quality and, to a lesser extent, medium-quality fixed income securities. It is expected to maintain a dollar-weighted average maturity of 0 to 2 years. Under normal circumstances, the fund will invest at least 80% of its assets in fixed income securities."
ceo,
sector,
country,
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VUSB.png
ipoDate,2021-04-07
defaultImage,True
isEtf,True
isActivelyTrading,False
isAdr,False
isFund,False
