,IGF
symbol,IGF
price,48.26
beta,0
volAvg,600127
mktCap,2826797262
lastDiv,1.2229999999999999
range,39.95-52.15
changes,0.35
companyName,iShares Global Infrastructure ETF
currency,USD
cik,
isin,US4642883726
cusip,464288372
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The index is designed to track performance of the stocks of large infrastructure companies in developed or emerging markets. The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents,."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/IGF.png
ipoDate,2007-12-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
