,UDOW
symbol,UDOW
price,61
beta,0
volAvg,3486326
mktCap,0
lastDiv,0.472
range,37.98-80.59
changes,1.95
companyName,ProShares UltraPro Dow30
currency,USD
cik,
isin,US74347X8231
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a price-weighted index and includes 30 large-cap, ""blue-chip"" U.S. stocks, excluding utility and transportation companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/UDOW.png
ipoDate,2010-02-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
