,SOXX
symbol,SOXX
price,403.68
beta,0
volAvg,1122103
mktCap,3088152000
lastDiv,4.367
range,287.82-507.88
changes,7.39
companyName,iShares Semiconductor ETF
currency,USD
cik,
isin,US4642875235
cusip,464287523
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SOXX.png
ipoDate,2001-07-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
