,NUGT
symbol,NUGT
price,42.38
beta,0
volAvg,3161690
mktCap,0
lastDiv,0.24
range,20.3-82.86
changes,0.46
companyName,Direxion Daily Gold Miners Index Bull 2X Shares
currency,USD
cik,0001424958
isin,US25460G7815
cusip,25460E844
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets (plus borrowing for investment purposes) in financial instruments, such as swap agreements, ETFs that track the index, securities of the index and other financial instruments that provide daily leveraged exposure to the index or to ETFs that track the index. The index is a comprised of publicly traded companies that operate globally in both developed and emerging markets, and are involved primarily in mining for gold and, in mining for silver. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NUGT.png
ipoDate,2010-12-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
