,JETS
symbol,JETS
price,20.2
beta,0
volAvg,3545980
mktCap,80258943
lastDiv,0.141
range,14.774-23.71
changes,0.21
companyName,U.S. Global Jets ETF
currency,USD
cik,
isin,US26922A8421
cusip,26922A842
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund uses a ""passive management"" (or indexing) approach to track the performance, before fees and expenses, of the index. The index is composed of the exchange-listed common stock (or depositary receipts) of U.S. and international passenger airlines, aircraft manufacturers, airports, terminal services companies, and airline-related internet media and services companies (e.g., websites for purchasing airline tickets), each as determined by independent industry listings (collectively, “Airline Companies”). The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JETS.png
ipoDate,2015-04-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
