,XLG
symbol,XLG
price,295.02
beta,0
volAvg,44949
mktCap,0
lastDiv,3.69
range,260.46-359.26
changes,4.3
companyName,Invesco S&P 500 Top 50 ETF
currency,USD
cik,
isin,US46137V2337
cusip,46137V233
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The index provider compiles, maintains and calculates the underlying index, which consists of the 50 largest companies in the S&P 500® Index based on float-adjusted market capitalization. The underlying index's components are weighted by float-adjusted market capitalization. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLG.png
ipoDate,2005-05-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
