,EWJ
symbol,EWJ
price,58.74
beta,0
volAvg,4119245
mktCap,13383908941
lastDiv,0.67
range,47.64-65.53
changes,0.07
companyName,iShares MSCI Japan ETF
currency,USD
cik,
isin,US46434G8226
cusip,46434G822
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index is designed to measure the performance of the large- and mid-capitalization segments of the Japanese equity market.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EWJ.png
ipoDate,1996-03-12
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
