,SKYY
symbol,SKYY
price,64.05
beta,0
volAvg,471814
mktCap,0
lastDiv,0.13
range,54.5-97.07
changes,1.24
companyName,First Trust Cloud Computing ETF
currency,USD
cik,
isin,US33734X1928
cusip,33734X192
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is designed to track the performance of companies involved in the cloud computing industry.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SKYY.png
ipoDate,2011-07-05
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
