,VTWO
symbol,VTWO
price,77.25
beta,0
volAvg,1370544
mktCap,0
lastDiv,1.04
range,65.63-85.63
changes,1.78
companyName,Vanguard Russell 2000 Index Fund
currency,USD
cik,
isin,US92206C6646
cusip,92206C664
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund employs an indexing investment approach designed to track the performance of the Russell 2000® Index. The index is designed to measure the performance of small-capitalization stocks in the United States. The advisor attempts to replicate the target index by investing all, or substantially all, of its assets in the stocks that make up the index, holding each stock in approximately the same proportion as its weighting in the index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/VTWO.png
ipoDate,2010-09-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
