,ARKQ
symbol,ARKQ
price,48.57
beta,0
volAvg,117900
mktCap,193581661
lastDiv,0.614
range,39.35-71.56
changes,1.22
companyName,ARK Autonomous Technology & Robotics ETF
currency,USD
cik,0001579982
isin,US00214Q2030
cusip,00214Q203
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund is an actively-managed exchange-traded fund that will invest under normal circumstances primarily (at least 80% of its assets) in domestic and foreign equity securities of autonomous technology and robotics companies that are relevant to the fund's investment theme of disruptive innovation. Substantially all of the fund's assets will be invested in equity securities, including common stocks, partnership interests, business trust shares and other equity investments or ownership interests in business enterprises. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ARKQ.png
ipoDate,2014-09-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
