,DIG
symbol,DIG
price,44.51
beta,0
volAvg,106691
mktCap,404137848
lastDiv,1.166
range,24.76-50.45
changes,0.93
companyName,ProShares Ultra Oil & Gas
currency,USD
cik,
isin,US74347G7051
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index measures the performance of certain companies in the oil and gas sector of the U.S. equity market. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DIG.png
ipoDate,2007-01-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
