,NXTG
symbol,NXTG
price,66.59
beta,0
volAvg,39142
mktCap,0
lastDiv,1.242
range,53.16-79.94
changes,0.2
companyName,First Trust IndXX NextG ETF
currency,USD
cik,
isin,
cusip,33737K205
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund will normally invest at least 90% of its net assets (including investment borrowings) in the common stocks and depositary receipts that comprise the index. The index is designed to track the performance of companies that have devoted, or have committed to devote, material resources to the research, development and application of fifth generation (""5G"") and next generation digital cellular technologies as they emerge."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/NXTG.png
ipoDate,2011-02-17
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
