,DVY
symbol,DVY
price,125.66
beta,0
volAvg,792306
mktCap,21996783251
lastDiv,4.141
range,105.59-133.33
changes,1.61
companyName,iShares Select Dividend ETF
currency,USD
cik,
isin,US4642871689
cusip,464287168
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,The fund generally will invest at least 80% of its assets in the component securities of its underlying index and in investments that have economic characteristics that are substantially identical to the component securities of its underlying index. The underlying index measures the performance of the U.S.'s leading stocks by dividend yield.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DVY.png
ipoDate,2003-11-03
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
