,DBMF
symbol,DBMF
price,28.17
beta,0
volAvg,623191
mktCap,0
lastDiv,1.182
range,25.68-35.137
changes,-0.25
companyName,iMGP DBi Managed Futures Strategy ETF
currency,USD
cik,
isin,US56170L8283
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund seeks to achieve its objective by: (i) investing its assets pursuant to a managed futures strategy; (ii) allocating up to 20% of its total assets in its wholly-owned subsidiary, which is organized under the laws of the Cayman Islands, is advised by the Sub-Advisor, and will comply with the fund's investment objective and investment policies; and (iii) investing directly in select debt instruments for cash management and other purposes. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DBMF.png
ipoDate,2019-05-08
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
