,HSD.TO
symbol,HSD.TO
price,7.35
beta,0
volAvg,1062567
mktCap,0
lastDiv,0
range,6.34-10.19
changes,-0.22
companyName,BetaPro S&P 500 -2x Daily Bear ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HSD.TO.png
ipoDate,2008-07-24
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
