,XLC
symbol,XLC
price,55.08
beta,0
volAvg,6018552
mktCap,0
lastDiv,0.5309999999999999
range,44.86-76.57
changes,0.66
companyName,Communication Services Select Sector SPDR Fund
currency,USD
cik,
isin,US81369Y8527
cusip,81369Y852
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Normally, the fund generally invests substantially all, but at least 95%, of its total assets in the securities comprising the index. The index includes companies that have been identified as Communication Services companies by the GICS®, including securities of companies from the following industries: diversified telecommunication services; wireless telecommunication services; media; entertainment; and interactive media & services. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XLC.png
ipoDate,2018-06-18
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
