,INQQ
symbol,INQQ
price,10.31
beta,0
volAvg,2098
mktCap,0
lastDiv,0
range,9.99-16.06
changes,0.21
companyName,India Internet & Ecommerce ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in securities comprising the index or in depositary receipts representing securities of the index. The index was designed by the index Provider to measure the performance of an investable universe of publicly-traded, Indian internet and ecommerce companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/INQQ.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
