,BSJO
symbol,BSJO
price,22.5148
beta,0
volAvg,374703
mktCap,524247189
lastDiv,1.1129999999999998
range,21.41-24.51
changes,0.1248
companyName,Invesco BulletShares 2024 High Yield Corporate Bond ETF
currency,USD
cik,
isin,US46138J8339
cusip,46138J833
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated high yield corporate bonds (commonly known as ""junk bonds"") with maturities or, in some cases, ""effective maturities"" in the year 2024 (collectively, ""2024 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSJO.png
ipoDate,2016-09-14
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
