,EFO
symbol,EFO
price,40.81
beta,0
volAvg,6742
mktCap,7690318
lastDiv,0.007
range,25.39-51.05
changes,0.64
companyName,ProShares Ultra MSCI EAFE
currency,USD
cik,
isin,US74347X5005
cusip,74347X500
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index includes 85% of the free float-adjusted, market capitalization in each industry group in developed market countries, excluding the U.S. and Canada. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EFO.png
ipoDate,2009-06-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
