,HAP
symbol,HAP
price,52.14
beta,0
volAvg,14265
mktCap,0
lastDiv,1.614
range,41.94-57.16
changes,0.4786
companyName,VanEck Natural Resources ETF
currency,USD
cik,
isin,US92189F8418
cusip,92189F841
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index is comprised of publicly traded companies engaged (derive greater than 50% of revenues from applicable sources) in the production and distribution of commodities and commodity-related products and services in the following sectors: 1) Agriculture; 2) Alternatives (Water & Alternative Energy); 3) Base and Industrial Metals; 4) Energy; 5) Forest Products; and 6) Precious Metals.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HAP.png
ipoDate,2008-08-29
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
