,XHB.TO
symbol,XHB.TO
price,18.82
beta,0
volAvg,13091
mktCap,0
lastDiv,0.7760000000000002
range,17.65-20.46
changes,0.05
companyName,iShares Canadian HYBrid Corporate Bond Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/XHB.TO.png
ipoDate,2010-11-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
