,TSLQ
symbol,TSLQ
price,53
beta,0
volAvg,1643991
mktCap,0
lastDiv,2.028
range,36.25-93.89
changes,-2.08
companyName,AXS TSLA Bear Daily ETF
currency,USD
cik,
isin,
cusip,
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market circumstances, the adviser will maintain at least 80% exposure to financial instruments that provide inverse exposure to the daily performance of TSLA. The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve on a daily basis, before fees and expenses, -100% performance of TSLA for a single day, not for any other period, by entering into one or more swap agreements on TSLA. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TSLQ.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
