,ZIN.TO
symbol,ZIN.TO
price,35
beta,0
volAvg,1616
mktCap,0
lastDiv,0.64
range,29.11-35.7
changes,0.4
companyName,BMO Equal Weight Industrials Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZIN.TO.png
ipoDate,2012-11-23
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
