,JSTC
symbol,JSTC
price,16.04
beta,0
volAvg,28013
mktCap,0
lastDiv,0.123
range,13.221-19.07
changes,0.1829
companyName,Adasina Social Justice All Cap Global ETF
currency,USD
cik,
isin,US8863648767
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund is an actively-managed exchange-traded fund (“ETF”) that seeks to achieve its investment objective by investing the fund’s assets in a portfolio of global companies whose business practices are aligned with the social justice investment criteria of sub-adviser. Under normal market conditions, it will invest in at least three countries (one of which may be the United States) and will invest at least 40% of its total assets at the time of purchase in non-U.S. companies."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JSTC.png
ipoDate,2020-12-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
