,CTBB
symbol,CTBB
price,20.6
beta,0.479838
volAvg,79332
mktCap,0
lastDiv,1.615
range,16.389-25.29
changes,0.42
companyName,Qwest Corp. NT
currency,USD
cik,0000068622
isin,
cusip,74913G881
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/CTBB.png
ipoDate,2016-08-23
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
