,DDM
symbol,DDM
price,67.21
beta,0
volAvg,361980
mktCap,433330628
lastDiv,0.53
range,48.42-77.53
changes,-0.06
companyName,ProShares Ultra Dow30
currency,USD
cik,
isin,US74347R3057
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a price-weighted index and includes 30 large-cap, ""blue-chip"" U.S. stocks, excluding utility and transportation companies. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DDM.png
ipoDate,2006-06-19
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
