,HQU.TO
symbol,HQU.TO
price,9.98
beta,0
volAvg,1173719
mktCap,0
lastDiv,0
range,7.52-17.78
changes,0.38
companyName,BetaPro NASDAQ-100 2x Daily Bull ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HQU.TO.png
ipoDate,2008-12-01
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
