,FMAT
symbol,FMAT
price,47.85
beta,0
volAvg,58100
mktCap,233614179
lastDiv,0.607
range,37.43-51.43
changes,1.03
companyName,Fidelity MSCI Materials Index ETF
currency,USD
cik,
isin,US3160928814
cusip,316092881
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of assets in securities included in the fund's underlying index. The fund's underlying index is the MSCI USA IMI Materials 25/50 Index, which represents the performance of the materials sector in the U.S. equity market. It may or may not hold all of the securities in the MSCI USA IMI Materials 25/50 Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FMAT.png
ipoDate,2013-10-21
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
