,LMBS
symbol,LMBS
price,48.0409
beta,0
volAvg,783827
mktCap,0
lastDiv,1.1139999999999999
range,46.62-49.8
changes,0.0109
companyName,First Trust Low Duration Opportunities ETF
currency,USD
cik,
isin,US33739Q2003
cusip,33739Q200
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"Under normal market conditions, the fund will seek to achieve its investment objectives by investing at least 60% of its net assets (including investment borrowings) in mortgage-related debt securities and other mortgage-related instruments (collectively, ""Mortgage-Related Investments""). The advisor normally expects to invest in Mortgage-Related Investments tied to residential and commercial mortgages."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/LMBS.png
ipoDate,2014-11-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
