,FNDC
symbol,FNDC
price,33.9787
beta,0
volAvg,230245
mktCap,0
lastDiv,0.618
range,26.32-37.07
changes,0.1887
companyName,Schwab Fundamental International Small Company Index ETF
currency,USD
cik,
isin,US8085247489
cusip,808524748
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 90% of its net assets in stocks included in the index. The index measures the performance of the small company size segment by fundamental overall company scores, which are created using as the universe the developed ex U.S. companies in the FTSE Global Total Cap Index (the parent index)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNDC.png
ipoDate,2013-08-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
