,JXI
symbol,JXI
price,60.22
beta,0
volAvg,8554
mktCap,0
lastDiv,1.886
range,51.01-67.69
changes,0.4
companyName,iShares Global Utilities ETF
currency,USD
cik,
isin,US4642887115
cusip,464288711
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund generally will invest at least 80% of its assets in the component securities of its index and in investments that have economic characteristics that are substantially identical to the component securities of its index and may invest up to 20% of its assets in certain futures, options and swap contracts, cash and cash equivalents."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/JXI.png
ipoDate,2006-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
