,GDIV
symbol,GDIV
price,12.21
beta,0
volAvg,28927
mktCap,0
lastDiv,1.166
range,11.29-15.2
changes,0.1505
companyName,Harbor Dividend Growth Leaders ETF
currency,USD
cik,
isin,
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its net assets, plus borrowings for investment purposes, in dividend-paying equity securities. The fund invests primarily in equity securities, principally common and preferred stocks of large capitalization companies with a history of paying dividends or as determined by the Subadviser’s analysis, the ability to increase dividends in the future."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GDIV.png
ipoDate,
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
