,ZMU.TO
symbol,ZMU.TO
price,12.84
beta,0
volAvg,9662
mktCap,0
lastDiv,0.5399999999999999
range,11.82-14.77
changes,0.09
companyName,BMO Mid-Term US IG Corporate Bond Hedged to CAD Index ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/ZMU.TO.png
ipoDate,2013-03-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
