,HYG
symbol,HYG
price,76.33
beta,0
volAvg,33283547
mktCap,14930147313
lastDiv,3.507
range,70.4-84.96
changes,0.59
companyName,iShares iBoxx $ High Yield Corporate Bond ETF
currency,USD
cik,
isin,US4642885135
cusip,464288513
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The underlying index is a rules-based index consisting of U.S. dollar-denominated, high yield corporate bonds for sale in the U.S. The fund will invest at least 80% of its assets in the component securities of the underlying index, and the fund will invest at least 90% of its assets in fixed income securities of the types included in the underlying index that the advisor believes will help the fund track the underlying index."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/HYG.png
ipoDate,2007-04-04
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
