,FDVV
symbol,FDVV
price,39.765
beta,0
volAvg,166816
mktCap,322563023
lastDiv,1.2830000000000001
range,32.35-42.278
changes,0.175
companyName,Fidelity High Dividend ETF
currency,USD
cik,
isin,US3160928400
cusip,316092840
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund normally invests at least 80% of assets in securities included in the underlying index and in depository receipts representing securities included in the underlying index. The underlying index is designed to reflect the performance of stocks of large and mid-capitalization high-dividend-paying companies that are expected to continue to pay and grow their dividends.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FDVV.png
ipoDate,2016-09-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
