,PRFZ
symbol,PRFZ
price,173.7
beta,0
volAvg,32422
mktCap,0
lastDiv,2.1029999999999998
range,144.81-188.13
changes,3.94
companyName,Invesco FTSE RAFI US 1500 Small-Mid ETF
currency,USD
cik,
isin,US46137V5975
cusip,46137V597
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 90% of its total assets in the securities that comprise the underlying index. The underlying index is composed of 1,500 common stocks that the index provider strictly in accordance with its guidelines and mandated procedures, include to track the performance of small- and medium-sized U.S. companies based on the following four fundamental measures of firm size: book value, cash flow, sales and dividends."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PRFZ.png
ipoDate,2006-09-20
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
