,AGGY
symbol,AGGY
price,44.13
beta,0
volAvg,255772
mktCap,554490273
lastDiv,1.231
range,40.84-50.426
changes,0.21
companyName,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund
currency,USD
cik,
isin,US97717X5115
cusip,97717X511
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, the fund will invest at least 80% of its total asset in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is designed to broadly capture the U.S. investment grade, fixed income securities market while seeking to enhance yield within desired risk parameters and constraints. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AGGY.png
ipoDate,2015-07-09
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
