,PRS
symbol,PRS
price,25.04
beta,0
volAvg,37824
mktCap,0
lastDiv,1.408
range,22.21-26.37
changes,0.1116
companyName,"Prudential Financial, Inc. 5.62"
currency,USD
cik,0001137774
isin,US7443208050
cusip,744320805
exchange,New York Stock Exchange
exchangeShortName,NYSE
industry,
website,
description,
ceo,None
sector,Industrials
country,US
fullTimeEmployees,
phone,
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PRS.png
ipoDate,2018-08-22
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
