,FCIG.TO
symbol,FCIG.TO
price,22.29
beta,0
volAvg,7632
mktCap,1147214699
lastDiv,0
range,20.95-24.9
changes,0.14
companyName,Fidelity Global Investment Grade Bond ETF
currency,CAD
cik,
isin,
cusip,
exchange,Toronto Stock Exchange
exchangeShortName,TSX
industry,
website,
description,NA
ceo,
sector,
country,CA
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FCIG.TO.png
ipoDate,2020-06-10
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
