,PTMC
symbol,PTMC
price,34.07
beta,0
volAvg,69063
mktCap,0
lastDiv,0.255
range,30.52-34.68
changes,0.77
companyName,Pacer Trendpilot US Mid Cap ETF
currency,USD
cik,
isin,US69374H2040
cusip,69374H204
exchange,BATS
exchangeShortName,ETF
industry,
website,
description,"The fund invests at least 80% of its total assets (exclusive of collateral held from securities lending) in the component securities of the index. The index implements a systematic trend-following strategy that directs exposure (i) 100% to the S&P MidCap 400® Index, (ii) 50% to the S&P MidCap 400 and 50% to 3-Month U.S. Treasury bills, or (iii) 100% to 3-Month U.S. Treasury bills, depending on the relative performance of the S&P MidCap 400 and its 200-business day historical simple moving average."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/PTMC.png
ipoDate,2015-06-11
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
