,TAN
symbol,TAN
price,80.8
beta,0
volAvg,1029909
mktCap,0
lastDiv,0.092
range,55.54-91.12
changes,2.58
companyName,Invesco Solar ETF
currency,USD
cik,
isin,US46138G7060
cusip,46138G706
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will generally invest at least 90% of its total assets in the securities that comprise the underlying index.Strictly in accordance with its guidelines and mandated procedures, MAC Indexing LLC, has contracted with S&P DJI Netherlands B.V. to calculate and administer the underlying index, which is a rules-based index that seeks to track the performance of companies in global solar energy businesses. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/TAN.png
ipoDate,2008-04-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
