,AOA
symbol,AOA
price,63.72
beta,0
volAvg,366429
mktCap,955346632
lastDiv,1.453
range,54.0-71.01
changes,0.51
companyName,iShares Core Aggressive Allocation ETF
currency,USD
cik,
isin,US4642898591
cusip,464289859
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,The fund is a fund of funds and seeks its investment objective by investing primarily in underlying funds that themselves seek investment results corresponding to their own respective underlying indexes. It generally will invest at least 80% of its assets in the component securities of the underlying index. The index measures the performance of the S&P Dow Jones Indices LLC proprietary allocation model.
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AOA.png
ipoDate,2008-11-04
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
