,BSCP
symbol,BSCP
price,20.31
beta,0
volAvg,766898
mktCap,237240927
lastDiv,0.4710000000000001
range,19.735-21.6
changes,0.03
companyName,Invesco BulletShares 2025 Corporate Bond ETF
currency,USD
cik,
isin,US46138J8255
cusip,46138J825
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund generally will invest at least 80% of its total assets in securities that comprise the underlying index. The underlying index seeks to measure the performance of a portfolio of U.S. dollar-denominated investment grade corporate bonds with maturities or, in some cases, ""effective maturities"" in the year 2025 (collectively, ""2025 Bonds"")."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/BSCP.png
ipoDate,2015-10-07
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
