,GRES
symbol,GRES
price,36.38
beta,0
volAvg,5973
mktCap,0
lastDiv,0.353
range,27.7-36.84
changes,0.35
companyName,IQ Global Resources ETF
currency,USD
cik,
isin,US45409B8836
cusip,45409B883
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests at least 80% of its net assets, in the investments included in its underlying index. The underlying index seeks to employ a tiered sector weighting approach designed to provide exposure to developed market companies involved in the production and distribution of commodities and commodities-related products and services across the Precious Metals, Grains, Food and Fiber, Energy, Industrial Metals, Timber and Water sectors. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/GRES.png
ipoDate,2009-10-27
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
