,SRTY
symbol,SRTY
price,40.67
beta,0
volAvg,1046550
mktCap,0
lastDiv,0.089
range,40.57-82.42
changes,-3.14
companyName,ProShares UltraPro Short Russell2000
currency,USD
cik,
isin,US74347G7473
cusip,
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a measure of small-cap U.S. stock market performance. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SRTY.png
ipoDate,2010-02-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
