,AIQ
symbol,AIQ
price,22.86
beta,0
volAvg,36180
mktCap,359847901
lastDiv,0.112
range,18.01-29.34
changes,0.21
companyName,Global X Artificial Intelligence & Technology ETF
currency,USD
cik,
isin,US37954Y6326
cusip,37954Y632
exchange,NASDAQ Global Market
exchangeShortName,NASDAQ
industry,
website,
description,"The fund invests at least 80% of its total assets in the securities of the underlying index. The underlying index is designed to track the performance of companies involved in the development and utilization of artificial intelligence (""AI"") and big data. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/AIQ.png
ipoDate,2018-05-11
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
