,EBLU
symbol,EBLU
price,40.2
beta,0
volAvg,9391
mktCap,0
lastDiv,0.604
range,32.0-45.382
changes,0.7096
companyName,Ecofin Global Water ESG Fund
currency,USD
cik,
isin,US56167N7536
cusip,56167N753
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will normally invest at least 80% of its net assets, plus the amount of any borrowings for investment purposes, in the types of securities suggested by its name (i.e., Water Companies). The index is a proprietary rules-based, modified market capitalization weighted, float adjusted index designed to track the overall performance of equity securities of global Water Companies listed on developed country exchanges. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/EBLU.png
ipoDate,2020-08-21
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
