,SILJ
symbol,SILJ
price,11.19
beta,0
volAvg,1472863
mktCap,0
lastDiv,0.006
range,8.01-15.48
changes,0.07
companyName,ETFMG Prime Junior Silver Miners ETF
currency,USD
cik,
isin,US26924G1022
cusip,26924G102
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The index tracks the performance of the equity securities (or corresponding American Depositary Receipts (""ADRs"") or Global Depositary Receipts (""GDRs"")) of small-capitalization companies actively engaged in silver refining, mining, or exploration (""Junior Silver Companies""). The fund invests at least 80% of its total assets in the component securities of the index and in ADRs and GDRs based on the component securities in the index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SILJ.png
ipoDate,2012-11-28
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
