,REMX
symbol,REMX
price,95.26
beta,0
volAvg,104073
mktCap,0
lastDiv,1.187
range,74.36-127.5
changes,0.56
companyName,VanEck Rare Earth/Strategic Metals ETF
currency,USD
cik,
isin,US92189H8051
cusip,92189H805
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund normally invests at least 80% of its total assets in securities that comprise the fund's benchmark index. The index includes companies primarily engaged in a variety of activities that are related to the producing, refining and recycling of rare earth and strategic metals and minerals. It is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/REMX.png
ipoDate,2010-10-27
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
