,FNDE
symbol,FNDE
price,26.84
beta,0
volAvg,693600
mktCap,0
lastDiv,1.385
range,22.97-33.32
changes,0.02
companyName,Schwab Fundamental Emerging Markets Large Company Index ETF
currency,USD
cik,
isin,US8085247307
cusip,808524730
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund will invest at least 80% of its net assets in stocks included in the index, including depositary receipts representing securities of the index; which may be in the form of American Depositary Receipts, Global Depositary Receipts and European Depositary Receipts. The index measures the performance of the large company size segment by fundamental overall company scores, which are created using as the universe the emerging markets companies in the FTSE Global Total Cap Index (the parent index)."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FNDE.png
ipoDate,2013-08-15
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
