,SPXU
symbol,SPXU
price,14.04
beta,0
volAvg,27202178
mktCap,8836388917
lastDiv,0.066
range,12.49-23.86
changes,-0.61
companyName,ProShares UltraPro Short S&P500
currency,USD
cik,
isin,US74347B1109
cusip,74347B110
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"The fund invests in financial instruments that ProShare Advisors believes, in combination, should produce daily returns consistent with the fund's investment objective. The index is a measure of large-cap U.S. stock market performance. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/SPXU.png
ipoDate,2009-06-25
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
