,FPE
symbol,FPE
price,18.06
beta,0
volAvg,3156091
mktCap,0
lastDiv,0.886
range,16.25-19.93
changes,0.11
companyName,First Trust Preferred Securities and Income ETF
currency,USD
cik,
isin,US33739E1082
cusip,33739E108
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal market conditions, the fund invests at least 80% of its net assets (including investment borrowings) in preferred securities (""Preferred Securities"") and income-producing debt securities (""Income Securities""). The fund invests in securities that are traded over-the-counter or listed on an exchange."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/FPE.png
ipoDate,2013-02-12
defaultImage,True
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
