,DGS
symbol,DGS
price,47.09
beta,0
volAvg,212018
mktCap,1470971238
lastDiv,2.349
range,38.78-54.57
changes,0.52
companyName,WisdomTree Emerging Markets SmallCap Dividend Fund
currency,USD
cik,
isin,US97717W2816
cusip,97717W281
exchange,New York Stock Exchange Arca
exchangeShortName,AMEX
industry,
website,
description,"Under normal circumstances, at least 95% of the fund's total assets (exclusive of collateral held from securities lending) will be invested in component securities of the index and investments that have economic characteristics that are substantially identical to the economic characteristics of such component securities. The index is a fundamentally weighted index that is comprised of small cap common stocks selected from the WisdomTree Emerging Markets Dividend Index. The fund is non-diversified."
ceo,
sector,
country,US
fullTimeEmployees,
phone,NA
address,
city,
state,
zip,
dcfDiff,
dcf,0
image,https://financialmodelingprep.com/image-stock/DGS.png
ipoDate,2007-10-30
defaultImage,False
isEtf,True
isActivelyTrading,True
isAdr,False
isFund,False
